Наименование услуги; Главное изображение; Длительность; Стоимость; Действующая скидка
Занятие с репетитором-носителем китайского языка; Услуги школы\Китайский язык.jpg; 120 мин.; 1950 руб.; нет
Индивидуальный урок немецкого языка с преподавателем-носителем языка; Услуги школы\Немецкий язык.png; 110 мин.; 1340; нет
Киноклуб китайского языка для студентов; Услуги школы\киноклуб.jpg; 100 мин.; 1990 рублей; нет
Индивидуальный онлайн-урок японского языка по Skype; Услуги школы\online lessons.jpg; 4800 сек.; 1000 рублей; 20%
Киноклуб испанского языка для студентов; Услуги школы\киноклуб.jpg; 40 мин.; 1050 рублей; 10%
Занятие с русскоязычным репетитором испанского языка; Услуги школы\Испанский язык.jpg; 50 мин.; 1450 руб.; 15%
Урок в группе итальянского языка для взрослых; Услуги школы\Итальянский язык.jpg; 40 мин.; 1290 руб.; нет
Интенсивный онлайн-курс французского языка для компаний по Skype; Услуги школы\online lessons.jpg; 2400 сек.; 1180₽; 10%
Индивидуальный урок французского языка с преподавателем-носителем языка; Услуги школы\Французский язык.jpg; 2400 сек.; 1410₽; 20%
Урок в группе французского языка для школьников; Услуги школы\Французский язык.jpg; 6000 сек.; 1970 рублей; нет
Занятие с репетитором-носителем английского языка; Услуги школы\Английский язык.jpg; 6600 сек.; 910 рублей; нет
Киноклуб французского языка для взрослых; Услуги школы\киноклуб.jpg; 5400 сек.; 1770 руб.; 10%
Киноклуб немецкого языка для взрослых; Услуги школы\киноклуб.jpg; 100 мин.; 1560; 10%
Урок в группе японского языка для школьников; Услуги школы\Японский язык.jpg; 80 мин.; 1300 рублей; 5%
Индивидуальный урок испанского языка с русскоязычным преподавателем; Услуги школы\Испанский язык.jpg; 60 мин.; 1790₽; 15%
Интенсивный онлайн-курс итальянского языка для компаний по Skype; Услуги школы\online lessons.jpg; 4200 сек.; 1230 руб.; 10%
Урок в группе японского языка для студентов; Услуги школы\Японский язык.jpg; 3000 сек.; 1860 рублей; нет
Интенсивный курс с преподавателем-носителем английского языка для компаний; Услуги школы\for company.jpg; 110 мин.; 1670 рублей; 10%
Киноклуб итальянского языка для студентов; Услуги школы\киноклуб.jpg; 30 мин.; 1760₽; нет
Урок в группе испанского языка для взрослых; Услуги школы\Испанский язык.jpg; 1800 сек.; 1730 рублей; 5%
Урок в группе испанского языка для студентов; Услуги школы\Испанский язык.jpg; 100 мин.; 1310₽; 20%
Интенсивный онлайн-курс испанского языка для компаний по Skype; Услуги школы\online lessons.jpg; 120 мин.; 1510₽; нет
Урок в группе английского языка для школьников; Услуги школы\Английский язык.jpg; 6600 сек.; 900; нет
Занятие с репетитором-носителем испанского языка; Услуги школы\Испанский язык.jpg; 3000 сек.; 1090; 5%
Интенсивный курс с преподавателем-носителем итальянского языка для компаний; Услуги школы\for company.jpg; 2400 сек.; 1190; 20%
Урок в группе китайского языка для студентов; Услуги школы\Китайский язык.jpg; 2400 сек.; 2000 руб.; 20%
Индивидуальный урок испанского языка с преподавателем-носителем языка; Услуги школы\Испанский язык.jpg; 90 мин.; 1200₽; 10%
Интенсивный онлайн-курс португальского языка для компаний по Skype; Услуги школы\online lessons.jpg; 70 мин.; 1610 рублей; 5%
Подготовка к экзамену ACT; Услуги школы\Подготовка к экзамену ACT.png; 50 мин.; 1440 руб.; нет
Урок в группе китайского языка для взрослых; Услуги школы\Китайский язык.jpg; 4200 сек.; 1730₽; 25%
Интенсивный онлайн-курс английского языка для компаний по Skype; Услуги школы\online lessons.jpg; 3000 сек.; 1160₽; нет
Подготовка к экзамену TOEFL; Услуги школы\Подготовка к экзамену TOEFL.jpg; 6000 сек.; 1070₽; 5%
Занятие с репетитором-носителем итальянского языка; Услуги школы\Итальянский язык.jpg; 7200 сек.; 1370₽; 5%
Урок в группе английского языка для взрослых; Услуги школы\Английский язык.jpg; 3000 сек.; 1010; 25%
Киноклуб английского языка для взрослых; Услуги школы\киноклуб.jpg; 70 мин.; 1250₽; 5%
Интенсивный курс с преподавателем-носителем французского языка для компаний; Услуги школы\for company.jpg; 70 мин.; 1630₽; 15%
Урок в группе испанского языка для школьников; Услуги школы\Испанский язык.jpg; 7200 сек.; 1910₽; нет
Подготовка к экзамену GRE; Услуги школы\Подготовка к экзамену GRE.jpeg; 80 мин.; 1300₽; 20%
Урок в группе английского языка для студентов; Услуги школы\Английский язык.jpg; 4800 сек.; 960₽; 25%
Занятие с русскоязычным репетитором японского языка; Услуги школы\Японский язык.jpg; 2400 сек.; 1260₽; 10%
Индивидуальный онлайн-урок немецкого языка по Skype; Услуги школы\online lessons.jpg; 90 мин.; 970; нет
Интенсивный курс японского языка с русскоязычным преподавателем для компаний; Услуги школы\for company.jpg; 80 мин.; 1500; нет
Киноклуб китайского языка для взрослых; Услуги школы\киноклуб.jpg; 70 мин.; 1800₽; 25%
Индивидуальный урок китайского языка с русскоязычным преподавателем; Услуги школы\Китайский язык.jpg; 120 мин.; 1860₽; 10%
Подготовка к экзамену GMAT; Услуги школы\Подготовка к экзамену GMAT.png; 70 мин.; 1150 рублей; 5%
Подготовка к экзамену IELTS; Услуги школы\Подготовка к экзамену IELTS.jpg; 7200 сек.; 1730 руб.; нет
Подготовка к экзамену SAT; Услуги школы\Подготовка к экзамену SAT.png; 40 мин.; 1560₽; нет
Урок в группе китайского языка для школьников; Услуги школы\Китайский язык.jpg; 3000 сек.; 1180₽; 15%
Киноклуб английского языка для студентов; Услуги школы\киноклуб.jpg; 4800 сек.; 980 руб.; нет
Киноклуб португальского языка для студентов; Услуги школы\киноклуб.jpg; 1800 сек.; 1170₽; 15%
Киноклуб китайского языка для детей; Услуги школы\киноклуб.jpg; 100 мин.; 1120; 10%
Урок в группе немецкого языка для школьников; Услуги школы\Немецкий язык.png; 1800 сек.; 1570; 15%
Индивидуальный онлайн-урок испанского языка по Skype; Услуги школы\online lessons.jpg; 4200 сек.; 1780 руб.; 5%
Урок в группе немецкого языка для взрослых; Услуги школы\Немецкий язык.png; 60 мин.; 930₽; 5%
Индивидуальный урок китайского языка с преподавателем-носителем языка; Услуги школы\Китайский язык.jpg; 90 мин.; 1480 руб.; 20%
Занятие с русскоязычным репетитором португальского языка; Услуги школы\Португальский язык.jpg; 3000 сек.; 1970₽; 10%
Интенсивный курс китайского языка с русскоязычным преподавателем для компаний; Услуги школы\for company.jpg; 6600 сек.; 1470 рублей; нет
Занятие с русскоязычным репетитором немецкого языка; Услуги школы\Немецкий язык.png; 1800 сек.; 1420 руб.; нет
Киноклуб английского языка для детей; Услуги школы\киноклуб.jpg; 2400 сек.; 1280; 5%
Занятие с репетитором-носителем немецкого языка; Услуги школы\Немецкий язык.png; 7200 сек.; 1120 рублей; нет
Индивидуальный онлайн-урок китайского языка по Skype; Услуги школы\online lessons.jpg; 4200 сек.; 1410₽; нет
Индивидуальный урок английского языка с преподавателем-носителем языка; Услуги школы\Английский язык.jpg; 7200 сек.; 1300 рублей; нет
Интенсивный курс с преподавателем-носителем немецкого языка для компаний; Услуги школы\for company.jpg; 120 мин.; 1180₽; 20%
Интенсивный онлайн-курс немецкого языка для компаний по Skype; Услуги школы\online lessons.jpg; 4200 сек.; 1840₽; 10%
Урок в группе итальянского языка для школьников; Услуги школы\Итальянский язык.jpg; 6000 сек.; 1410₽; 15%
Индивидуальный урок итальянского языка с русскоязычным преподавателем; Услуги школы\Итальянский язык.jpg; 30 мин.; 1330 руб.; 20%
Интенсивный онлайн-курс китайского языка для компаний по Skype; Услуги школы\online lessons.jpg; 120 мин.; 1760 рублей; 15%
Занятие с русскоязычным репетитором французского языка; Услуги школы\Французский язык.jpg; 6000 сек.; 1870; 20%
Индивидуальный урок немецкого языка с русскоязычным преподавателем; Услуги школы\Немецкий язык.png; 1800 сек.; 990 рублей; 5%
Индивидуальный онлайн-урок английского языка по Skype; Услуги школы\online lessons.jpg; 6000 сек.; 1880₽; нет
Индивидуальный урок французского языка с русскоязычным преподавателем; Услуги школы\Французский язык.jpg; 4200 сек.; 1390 руб.; нет
Интенсивный курс португальского языка с русскоязычным преподавателем для компаний; Услуги школы\for company.jpg; 60 мин.; 2010 рублей; 25%
Индивидуальный онлайн-урок французского языка по Skype; Услуги школы\online lessons.jpg; 7200 сек.; 2010₽; нет
Интенсивный курс английского языка с русскоязычным преподавателем для компаний; Услуги школы\for company.jpg; 4800 сек.; 1210 руб.; нет
Урок в группе французского языка для взрослых; Услуги школы\Французский язык.jpg; 120 мин.; 960 рублей; 15%
Подготовка к экзамену IELTS Speaking Club; Услуги школы\Подготовка к экзамену IELTS.jpg; 90 мин.; 1430 рублей; 20%
Киноклуб итальянского языка для детей; Услуги школы\киноклуб.jpg; 70 мин.; 1480₽; нет
Урок в группе итальянского языка для студентов; Услуги школы\Итальянский язык.jpg; 110 мин.; 1020₽; нет
Индивидуальный урок итальянского языка с преподавателем-носителем языка; Услуги школы\Итальянский язык.jpg; 80 мин.; 1690 рублей; нет
Киноклуб немецкого языка для детей; Услуги школы\киноклуб.jpg; 120 мин.; 1670 рублей; 5%
Киноклуб итальянского языка для взрослых; Услуги школы\киноклуб.jpg; 110 мин.; 1760 руб.; нет
Киноклуб португальского языка для взрослых; Услуги школы\киноклуб.jpg; 1800 сек.; 950 руб.; 5%
Киноклуб португальского языка для детей; Услуги школы\киноклуб.jpg; 90 мин.; 1710; 15%
Киноклуб французского языка для детей; Услуги школы\киноклуб.jpg; 90 мин.; 1600₽; 10%
Урок в группе японского языка для взрослых; Услуги школы\Японский язык.jpg; 80 мин.; 1420₽; 5%
Интенсивный курс французского языка с русскоязычным преподавателем для компаний; Услуги школы\for company.jpg; 40 мин.; 1940 рублей; нет
Занятие с русскоязычным репетитором итальянского языка; Услуги школы\Итальянский язык.jpg; 4200 сек.; 1620 руб.; 20%
Индивидуальный урок английского языка с русскоязычным преподавателем; Услуги школы\Английский язык.jpg; 30 мин.; 1910 руб.; 10%
Интенсивный курс с преподавателем-носителем португальского языка для компаний; Услуги школы\for company.jpg; 30 мин.; 1580 рублей; нет
Интенсивный курс испанского языка с русскоязычным преподавателем для компаний; Услуги школы\for company.jpg; 5400 сек.; 1000₽; 25%
Киноклуб немецкого языка для студентов; Услуги школы\киноклуб.jpg; 50 мин.; 1140 рублей; 15%
Занятие с репетитором-носителем французского языка; Услуги школы\Французский язык.jpg; 50 мин.; 2040 рублей; нет
Урок в группе немецкого языка для студентов; Услуги школы\Немецкий язык.png; 4200 сек.; 1240; нет
Занятие с русскоязычным репетитором китайского языка; Услуги школы\Китайский язык.jpg; 6600 сек.; 940; 15%
Занятие с репетитором-носителем японского языка; Услуги школы\Японский язык.jpg; 3000 сек.; 1100; 25%
Урок в группе французского языка для студентов; Услуги школы\Французский язык.jpg; 1800 сек.; 1910 руб.; нет
Интенсивный курс итальянского языка с русскоязычным преподавателем для компаний; Услуги школы\for company.jpg; 110 мин.; 900₽; нет
Занятие с русскоязычным репетитором английского языка; Услуги школы\Английский язык.jpg; 90 мин.; 1950₽; 15%
Интенсивный курс с преподавателем-носителем испанского языка для компаний; Услуги школы\for company.jpg; 90 мин.; 1660₽; нет
Интенсивный курс с преподавателем-носителем японского языка для компаний; Услуги школы\for company.jpg; 4200 сек.; 1380; 20%
